### Energy [MeV],Low dEdx [MeV*cm2/g],High dEdx [MeV*cm2/g]
0.1,27.0456,88.1447
0.101,27.0456,88.2309
0.102,27.0456,88.3004
0.103,27.0456,88.3473
0.104,27.0456,88.3729
0.105,27.0456,88.3785
0.106,27.0456,88.3654
0.107,27.0456,88.3346
0.108,27.0456,88.2872
0.109,27.0456,88.2243
0.11,27.0456,88.1466
0.111,27.0456,88.0553
0.112,27.0456,87.9509
0.113,27.0456,87.8345
0.114,27.0456,87.7065
0.115,27.0456,87.5678
0.116,27.0456,87.419
0.117,27.0456,87.2608
0.118,27.0456,87.0935
0.119,27.0456,86.9179
0.12,27.0456,87.2358
0.121,27.0456,87.5372
0.122,27.0456,87.8644
0.123,27.0456,88.1753
0.124,27.0456,88.4552
0.125,27.0456,88.7058
0.126,27.0456,88.9285
0.127,27.0456,89.1249
0.128,27.0456,89.2962
0.129,27.0456,89.4439
0.13,27.0456,89.569
0.131,27.0456,89.6727
0.132,27.0456,89.7562
0.133,27.0456,89.8204
0.134,27.0456,89.8664
0.135,27.0456,89.8951
0.136,27.0456,89.9073
0.137,27.0456,89.9039
0.138,27.0456,89.8857
0.139,27.0456,89.8535
0.14,27.0456,89.8079
0.141,27.0456,89.761
0.142,27.0456,89.7269
0.143,27.0456,89.6802
0.144,27.0456,89.6222
0.145,27.0456,89.5534
0.146,27.0456,89.5236
0.147,27.0456,89.5256
0.148,27.0456,89.5172
0.149,27.0456,89.4989
0.15,27.0456,89.4711
0.151,27.0456,89.4342
0.152,27.0456,89.3887
0.153,27.0456,89.335
0.154,27.0456,89.2735
0.155,27.0456,89.2044
0.156,27.0456,89.5031
0.157,27.0456,90.1226
0.158,27.0456,90.7067
0.159,27.0456,91.2571
0.16,27.0456,91.775
0.161,27.0456,92.2618
0.162,27.0456,92.7177
0.163,27.0456,93.1432
0.164,27.0456,93.5413
0.165,27.0456,93.913
0.166,27.0456,94.2595
0.167,27.0456,94.5817
0.168,27.0456,94.8806
0.169,27.0456,95.1572
0.17,27.0456,95.4124
0.171,27.0456,95.6469
0.172,27.0456,95.5033
0.173,27.0456,95.0947
0.174,27.0456,94.6904
0.175,27.0456,94.2904
0.176,27.0456,93.8945
0.177,27.0456,93.5026
0.178,27.0456,93.1147
0.179,27.0456,92.7308
0.18,27.0456,92.3506
0.181,27.0456,91.9742
0.182,27.0456,91.6015
0.183,27.0456,91.2324
